species,breed,age_group,disease,symptoms_list,key_signs,recommended_treatment,prevention
Goat,Boer cross,Neonate,Anaplasmosis,pale_mucous_membranes|weakness|progressive_anemia,pale mucous membranes; weakness,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Angus,Senior,Mastitis,swollen_udder|reduced_milk|abnormal_milk,swollen udder; reduced milk yield,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Local,Juvenile,Parasitic Gastroenteritis,diarrhoea|anorexia|bottle_jaw,diarrhoea; reduced appetite/anorexia,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Neonate,Dermatophilosis,lameness|wet_skin|matted_hair|crusting_skin_lesions|ticks_observed,lameness; wet skin,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Pig,Landrace,Senior,African Swine Fever,sudden_death|anorexia|abortions|high_fever|hemorrhages,sudden death; reduced appetite/anorexia,"No treatment or vaccine; depopulation, biosecurity and carcass disposal.",Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Local,Juvenile,Brucellosis,orchitis|abortions|retained_placenta|reduced_fertility,orchitis; abortions,Test-and-slaughter or long-term control programs; antibiotics limited; vaccination in control programs; public health measures.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Cattle,Sanga,Senior,Anaplasmosis,weight_loss|weakness|progressive_anemia|pale_mucous_membranes|fever|ticks_observed,weight loss; weakness,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Local,Adult,Orf (Contagious Ecthyma),weight_loss|scabby_lesions_mouth|lamb_kid_mortality,weight loss; scabby mouth lesions,Supportive care; topical antiseptics; live vaccines for flocks/herds where available.,Good husbandry; vaccination where available; vector control where relevant.
Pig,Local,Neonate,African Swine Fever,hemorrhages|anorexia,hemorrhages; reduced appetite/anorexia,"No treatment or vaccine; depopulation, biosecurity and carcass disposal.",Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Dorper,Neonate,Theileriosis,drooling|respiratory_distress|icterus|fever|lymph_node_enlargement,drooling/ptyalism; respiratory distress,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Poultry,Indigenous,Senior,Avian Influenza (HPAI),respiratory_signs|greenish_diarrhoea|drop_in_egg_production|swelling_head,respiratory signs; greenish diarrhoea,No treatment; culling; strict biosecurity; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Local,Senior,Babesiosis,anemia|fever|hemoglobinuria|anorexia,anemia; fever,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Friesian,Juvenile,Anaplasmosis,progressive_anemia|weakness|fever|pale_mucous_membranes,progressive anemia; weakness,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Senior,Theileriosis,icterus|drooling|anorexia|respiratory_distress|ticks_observed,jaundice/icterus; drooling/ptyalism,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Friesian,Adult,Lumpy Skin Disease,swollen_lymph_nodes|skin_nodules,swollen lymph nodes; skin nodules,Supportive care; symptomatic treatment; vaccination and vector control.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Cattle,Bonsmara,Senior,Babesiosis,fever|anemia|anorexia|weakness|hemoglobinuria,fever; anemia,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Pig,Landrace,Adult,African Swine Fever,high_fever|anorexia|sudden_death|abortions,high fever; reduced appetite/anorexia,"No treatment or vaccine; depopulation, biosecurity and carcass disposal.",Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Poultry,Local scavenging,Neonate,Avian Influenza (HPAI),drop_in_egg_production|sudden_death|greenish_diarrhoea|swelling_head|sudden_death,drop in egg production; sudden death,No treatment; culling; strict biosecurity; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Kalahari,Juvenile,Babesiosis,anemia|hemoglobinuria|anorexia|fever,anemia; red/brown urine (hemoglobinuria),Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer,Juvenile,Theileriosis,respiratory_distress|lymph_node_enlargement|anorexia|drooling,respiratory distress; lymph node enlargement,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Poultry,Broilers,Juvenile,Newcastle Disease,diarrhoea|respiratory_distress,diarrhoea; respiratory distress,Supportive care; vaccination for prevention; biosecurity.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Angus,Juvenile,Theileriosis,fever|drooling|ticks_observed,fever; drooling/ptyalism,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Local,Senior,Mastitis,swollen_udder|reduced_milk|abnormal_milk|pain_on_palpation,swollen udder; reduced milk yield,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Neonate,Anaplasmosis,pale_mucous_membranes|weight_loss|fever|progressive_anemia,pale mucous membranes; weight loss,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Friesian,Juvenile,Anaplasmosis,pale_mucous_membranes|weakness|fever|weight_loss,pale mucous membranes; weakness,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Poultry,Indigenous,Senior,Newcastle Disease,neurological_signs|drop_in_egg_production|respiratory_distress,neurological signs / paralysis; drop in egg production,Supportive care; vaccination for prevention; biosecurity.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer,Senior,Theileriosis,drooling|respiratory_distress|lymph_node_enlargement,drooling/ptyalism; respiratory distress,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Kalahari,Juvenile,Orf (Contagious Ecthyma),lamb_kid_mortality|scabby_lesions_mouth,lamb kid mortality; scabby mouth lesions,Supportive care; topical antiseptics; live vaccines for flocks/herds where available.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Hereford,Senior,Parasitic Gastroenteritis,anorexia|poor_condition|bottle_jaw|weight_loss|diarrhoea,reduced appetite/anorexia; poor condition,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Angus,Neonate,Blackleg,swollen_muscle|sudden_death,swollen muscle; sudden death,Vaccination for prevention; penicillin/oxytetracycline in early cases; carcass disposal.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Local,Adult,Dermatophilosis,exudative_dermatitis|matted_hair|wet_skin|crusting_skin_lesions,exudative dermatitis; matted hair,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Neonate,Coccidiosis,weight_loss|anorexia,weight loss; reduced appetite/anorexia,Coccidiostats; supportive care; sanitation and management.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Local,Juvenile,Anaplasmosis,progressive_anemia|pale_mucous_membranes,progressive anemia; pale mucous membranes,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer cross,Neonate,Dermatophilosis,crusting_skin_lesions|lameness|exudative_dermatitis|wet_skin|matted_hair|ticks_observed,crusting skin lesions; lameness,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer cross,Senior,Babesiosis,anemia|weakness|hemoglobinuria|anorexia,anemia; weakness,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer,Juvenile,Mastitis,pain_on_palpation|swollen_udder|abnormal_milk|reduced_milk,pain on palpation; swollen udder,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Bonsmara,Adult,Mastitis,swollen_udder|pain_on_palpation|abnormal_milk,swollen udder; pain on palpation,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Katahdin,Neonate,Parasitic Gastroenteritis,bottle_jaw|diarrhoea|poor_condition|weight_loss|anorexia,bottle jaw; diarrhoea,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Neonate,Mastitis,reduced_milk|swollen_udder,reduced milk yield; swollen udder,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Adult,Theileriosis,respiratory_distress|icterus|anorexia|fever|lymph_node_enlargement,respiratory distress; jaundice/icterus,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Pig,Local,Juvenile,Foot-and-Mouth Disease,excess_salivation|reduced_appetite|blisters_mouth_feet|lameness,excess salivation; reduced appetite,No specific treatment; supportive care; strict movement controls; vaccination campaigns; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Local,Senior,Anaplasmosis,pale_mucous_membranes|weight_loss|fever,pale mucous membranes; weight loss,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Angus,Juvenile,Anaplasmosis,weight_loss|weakness|pale_mucous_membranes|progressive_anemia,weight loss; weakness,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Kalahari,Juvenile,Babesiosis,anemia|weakness,anemia; weakness,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Bonsmara,Senior,Dermatophilosis,crusting_skin_lesions|matted_hair|exudative_dermatitis|lameness,crusting skin lesions; matted hair,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Kalahari,Adult,Babesiosis,anorexia|weakness|hemoglobinuria,reduced appetite/anorexia; weakness,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Kalahari,Senior,Dermatophilosis,lameness|crusting_skin_lesions|wet_skin|ticks_observed,lameness; crusting skin lesions,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Angus,Juvenile,Theileriosis,respiratory_distress|icterus|lymph_node_enlargement|anorexia,respiratory distress; jaundice/icterus,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Neonate,Mastitis,reduced_milk|pain_on_palpation|swollen_udder|abnormal_milk,reduced milk yield; pain on palpation,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Kalahari,Adult,Mastitis,swollen_udder|abnormal_milk,swollen udder; abnormal milk,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Hereford,Adult,Anaplasmosis,weakness|progressive_anemia|pale_mucous_membranes,weakness; progressive anemia,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Neonate,Parasitic Gastroenteritis,bottle_jaw|diarrhoea|weight_loss|anorexia,bottle jaw; diarrhoea,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer,Adult,Anaplasmosis,progressive_anemia|fever|pale_mucous_membranes|weight_loss,progressive anemia; fever,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Poultry,Layers,Adult,Newcastle Disease,diarrhoea|neurological_signs|drop_in_egg_production,diarrhoea; neurological signs / paralysis,Supportive care; vaccination for prevention; biosecurity.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer,Adult,Parasitic Gastroenteritis,diarrhoea|bottle_jaw|weight_loss|poor_condition,diarrhoea; bottle jaw,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Hereford,Senior,Anaplasmosis,weakness|pale_mucous_membranes,weakness; pale mucous membranes,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Local,Neonate,Dermatophilosis,lameness|crusting_skin_lesions|matted_hair,lameness; crusting skin lesions,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Local,Juvenile,Theileriosis,respiratory_distress|drooling|anorexia|ticks_observed,respiratory distress; drooling/ptyalism,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Local,Neonate,Babesiosis,weakness|anemia|hemoglobinuria|anorexia|fever,weakness; anemia,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Local,Senior,Babesiosis,hemoglobinuria|anorexia|weakness|ticks_observed,red/brown urine (hemoglobinuria); reduced appetite/anorexia,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Local,Adult,Babesiosis,anemia|weakness|fever|anorexia|hemoglobinuria|ticks_observed,anemia; weakness,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Bali,Juvenile,Mastitis,swollen_udder|abnormal_milk|reduced_milk|pain_on_palpation,swollen udder; abnormal milk,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Local,Senior,Theileriosis,icterus|drooling|respiratory_distress|anorexia|ticks_observed|sudden_death,jaundice/icterus; drooling/ptyalism,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Pig,Landrace,Neonate,African Swine Fever,sudden_death|high_fever,sudden death; high fever,"No treatment or vaccine; depopulation, biosecurity and carcass disposal.",Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Pig,Berkshire,Neonate,African Swine Fever,hemorrhages|abortions|high_fever,hemorrhages; abortions,"No treatment or vaccine; depopulation, biosecurity and carcass disposal.",Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Local,Senior,Parasitic Gastroenteritis,weight_loss|poor_condition,weight loss; poor condition,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Pig,Berkshire,Juvenile,African Swine Fever,hemorrhages|high_fever,hemorrhages; high fever,"No treatment or vaccine; depopulation, biosecurity and carcass disposal.",Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Local,Senior,Orf (Contagious Ecthyma),scabby_lesions_mouth|lamb_kid_mortality,scabby mouth lesions; lamb kid mortality,Supportive care; topical antiseptics; live vaccines for flocks/herds where available.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer cross,Senior,Mastitis,pain_on_palpation|swollen_udder|abnormal_milk|sudden_death,pain on palpation; swollen udder,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Local,Neonate,Anaplasmosis,fever|pale_mucous_membranes|weight_loss,fever; pale mucous membranes,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Angus,Neonate,Theileriosis,anorexia|fever,reduced appetite/anorexia; fever,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer cross,Adult,Dermatophilosis,wet_skin|crusting_skin_lesions|exudative_dermatitis|matted_hair|ticks_observed|sudden_death,wet skin; crusting skin lesions,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Adult,Mastitis,abnormal_milk|swollen_udder|pain_on_palpation|reduced_milk,abnormal milk; swollen udder,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer cross,Juvenile,Parasitic Gastroenteritis,anorexia|poor_condition|weight_loss|bottle_jaw|diarrhoea,reduced appetite/anorexia; poor condition,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Angus,Senior,Babesiosis,fever|hemoglobinuria|weakness|anorexia|anemia,fever; red/brown urine (hemoglobinuria),Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Juvenile,Mannheimiosis (Pasteurellosis),coughing|nasal_discharge,coughing; nasal discharge,"Antibiotics (e.g., tetracyclines, macrolides) based on vet guidance; supportive care; vaccination where available.",Good husbandry; vaccination where available; vector control where relevant.
Cattle,Angus,Senior,Parasitic Gastroenteritis,bottle_jaw|poor_condition|weight_loss,bottle jaw; poor condition,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Brahman,Senior,Dermatophilosis,exudative_dermatitis|crusting_skin_lesions|lameness|wet_skin|matted_hair,exudative dermatitis; crusting skin lesions,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Poultry,Broilers,Juvenile,Avian Influenza (HPAI),swelling_head|sudden_death|respiratory_signs|greenish_diarrhoea|drop_in_egg_production,swelling of head; sudden death,No treatment; culling; strict biosecurity; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Cattle,Hereford,Juvenile,Dermatophilosis,crusting_skin_lesions|matted_hair|exudative_dermatitis|ticks_observed,crusting skin lesions; matted hair,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Katahdin,Adult,Coccidiosis,anorexia|diarrhoea|dehydration,reduced appetite/anorexia; diarrhoea,Coccidiostats; supportive care; sanitation and management.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Neonate,Dermatophilosis,wet_skin|crusting_skin_lesions|exudative_dermatitis|matted_hair|lameness|ticks_observed,wet skin; crusting skin lesions,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Local,Juvenile,Babesiosis,anorexia|hemoglobinuria|fever|anemia|weakness|ticks_observed,reduced appetite/anorexia; red/brown urine (hemoglobinuria),Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Katahdin,Senior,Anaplasmosis,pale_mucous_membranes|fever|weakness|ticks_observed,pale mucous membranes; fever,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer,Senior,Anaplasmosis,weakness|progressive_anemia|ticks_observed,weakness; progressive anemia,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Poultry,Indigenous,Neonate,Coccidiosis,anorexia|diarrhoea|weight_loss|dehydration,reduced appetite/anorexia; diarrhoea,Coccidiostats; supportive care; sanitation and management.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer cross,Juvenile,Dermatophilosis,lameness|matted_hair|exudative_dermatitis|wet_skin|crusting_skin_lesions,lameness; matted hair,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Pig,Berkshire,Adult,Anthrax,swelling|fever|tongue_ulcers|sudden_death|bloody_diarrhoea,swelling; fever,Immediate isolation; do NOT open carcass; notify authorities; vaccinate in risk areas; consult DVS for carcass disposal.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Local,Adult,Orf (Contagious Ecthyma),scabby_lesions_mouth|lamb_kid_mortality,scabby mouth lesions; lamb kid mortality,Supportive care; topical antiseptics; live vaccines for flocks/herds where available.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Local,Juvenile,Babesiosis,hemoglobinuria|anemia|weakness,red/brown urine (hemoglobinuria); anemia,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Local,Neonate,Parasitic Gastroenteritis,anorexia|poor_condition|weight_loss|bottle_jaw|diarrhoea,reduced appetite/anorexia; poor condition,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Poultry,Indigenous,Senior,Newcastle Disease,neurological_signs|respiratory_distress|drop_in_egg_production,neurological signs / paralysis; respiratory distress,Supportive care; vaccination for prevention; biosecurity.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer,Juvenile,Anaplasmosis,fever|progressive_anemia|pale_mucous_membranes,fever; progressive anemia,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer cross,Juvenile,Theileriosis,lymph_node_enlargement|icterus|respiratory_distress|fever|drooling|ticks_observed,lymph node enlargement; jaundice/icterus,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Local,Senior,Mastitis,abnormal_milk|reduced_milk|pain_on_palpation|swollen_udder,abnormal milk; reduced milk yield,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer,Juvenile,Anaplasmosis,fever|weight_loss|progressive_anemia,fever; weight loss,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Angus,Adult,Theileriosis,drooling|anorexia|lymph_node_enlargement|respiratory_distress|icterus,drooling/ptyalism; reduced appetite/anorexia,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Angus,Juvenile,Mastitis,pain_on_palpation|abnormal_milk,pain on palpation; abnormal milk,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Pig,Berkshire,Neonate,African Swine Fever,abortions|hemorrhages|anorexia|high_fever|sudden_death,abortions; hemorrhages,"No treatment or vaccine; depopulation, biosecurity and carcass disposal.",Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Local,Neonate,Parasitic Gastroenteritis,bottle_jaw|diarrhoea|poor_condition|anorexia|weight_loss,bottle jaw; diarrhoea,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Bali,Neonate,Anaplasmosis,weakness|weight_loss|fever|pale_mucous_membranes|ticks_observed,weakness; weight loss,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Dog,Local,Neonate,Rabies (spillover),paralysis|hypersalivation,paralysis; hypersalivation,No treatment for clinical cases; vaccinate exposed animals; notify authorities; PEP for humans.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Kalahari,Senior,Mannheimiosis (Pasteurellosis),fever|coughing|nasal_discharge|respiratory_distress|anorexia,fever; coughing,"Antibiotics (e.g., tetracyclines, macrolides) based on vet guidance; supportive care; vaccination where available.",Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer,Adult,Parasitic Gastroenteritis,anorexia|bottle_jaw|diarrhoea|poor_condition,reduced appetite/anorexia; bottle jaw,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Bali,Neonate,Lumpy Skin Disease,lameness|reduced_milk,lameness; reduced milk yield,Supportive care; symptomatic treatment; vaccination and vector control.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Cattle,Friesian,Neonate,Foot-and-Mouth Disease,reduced_appetite|fever|excess_salivation|lameness,reduced appetite; fever,No specific treatment; supportive care; strict movement controls; vaccination campaigns; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Local,Neonate,Anaplasmosis,progressive_anemia|weight_loss|pale_mucous_membranes|weakness|fever,progressive anemia; weight loss,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Poultry,Broilers,Juvenile,Newcastle Disease,diarrhoea|respiratory_distress|drop_in_egg_production|neurological_signs|sudden_death,diarrhoea; respiratory distress,Supportive care; vaccination for prevention; biosecurity.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer,Senior,Parasitic Gastroenteritis,weight_loss|poor_condition|diarrhoea|anorexia|bottle_jaw,weight loss; poor condition,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Neonate,Foot-and-Mouth Disease,excess_salivation|reduced_appetite,excess salivation; reduced appetite,No specific treatment; supportive care; strict movement controls; vaccination campaigns; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Cattle,Bonsmara,Senior,Babesiosis,weakness|anemia|fever|anorexia,weakness; anemia,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Senior,Parasitic Gastroenteritis,weight_loss|poor_condition|diarrhoea|anorexia,weight loss; poor condition,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Brahman,Neonate,Brucellosis,reduced_fertility|retained_placenta,reduced fertility; retained placenta,Test-and-slaughter or long-term control programs; antibiotics limited; vaccination in control programs; public health measures.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Pig,Large White,Juvenile,Brucellosis,orchitis|reduced_fertility|retained_placenta|abortions,orchitis; reduced fertility,Test-and-slaughter or long-term control programs; antibiotics limited; vaccination in control programs; public health measures.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Kalahari,Juvenile,Babesiosis,anorexia|hemoglobinuria,reduced appetite/anorexia; red/brown urine (hemoglobinuria),Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Senior,Dermatophilosis,exudative_dermatitis|matted_hair|lameness|crusting_skin_lesions,exudative dermatitis; matted hair,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Hereford,Juvenile,Mastitis,pain_on_palpation|abnormal_milk,pain on palpation; abnormal milk,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer,Juvenile,Babesiosis,weakness|fever|anemia|ticks_observed,weakness; fever,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Kalahari,Senior,Parasitic Gastroenteritis,diarrhoea|weight_loss|anorexia|bottle_jaw,diarrhoea; weight loss,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
